Andrew Luck	1	1	1	3	3	1	1	1	1	1	1	1	1	1
Aaron Rodgers	2	3	4	2	1	2	3	2	3	2	2	3	4	3
Peyton Manning	3	2	5	4	2	3	2	4	2	3	4	4	2	2
Tom Brady	4	7	3	5	4	5	4	8	6	4	3	6	8	4
Tony Romo	9	5	6	1	5	4	5	5	4	5	5	7	6	6
Drew Brees	10	4	2	8	9	7	7	7	5	7	6	2	3	5
Ben Roethlisberger	6	8	7	7	7	6	6	3	10	6	7	5	7	7
Ryan Tannehill	5	6	13	6	11	8	8	9	7	9	9	8	5	8
Matthew Stafford	8	9	11	13	8	9	9	6	8	8	8	9	9	9
Mark Sanchez	22	10	9	9	16	10	10	10	9	10	10	12	12	12
Russell Wilson	12	13	17	10	10	12	11	11	12	11	12	11	14	15
Philip Rivers	7	14	15	20	6	17	17	13	11	16	15	14	10	10
Cam Newton	18	12	8	17	19	11	14	12	14	14	16	21	13	14
Eli Manning	17	22	18	19	14	19	12	16	13	12	13	16	23	11
Matt Ryan	21	17	19	15	20	15	15	14	15	13	11	20	21	13
Andy Dalton	15	23	14	23	17	14	16	15	20	15	14	19	22	16
Alex Smith	16	11	21	16	18	18	18	18	16	20	21	13	11	17
Colin Kaepernick	11	16	16	11	12	16	21	19	17	19	18	22	16	21
Joe Flacco	24	15	12	14	24	13	13	17	18	18	20	15	15	19
Jay Culter	13	18	10	12	13	21	19	20	19	17	17	23	20	18
Josh McCown	14	19	22	18	15	22	22	22	21	21	19	18	17	23
Drew Stanton	20	20	23	22	22	20	20	21	23	22	22	10	19	20
Teddy Bridgewater	23	21	20	21	23	23	23	24	22	23	24	17	18	22
Brian Hoyer	19	24	24	24	21	24	24	23	24	24	23	24	24	24
