d1mm,d2mm,d3mm,d4mm,d5mm,d6mm,rbom,lbom,ojmm,obm,clm
1.555555556,0.222222222,1.444444444,1,0,1.222222222,0,0.333333333,0,0,0
1.333333333,0.222222222,1,0.333333333,0,0.333333333,0,0.333333333,0,0.333333333,0
1.222222222,0.333333333,1,0.666666667,0.111111111,1.444444444,0,0,0,0,0
0,0,0.111111111,1.777777778,0.222222222,1.888888889,0.333333333,0.666666667,0,0,0
1.333333333,0.222222222,0.777777778,1.222222222,0.111111111,1.666666667,0.333333333,0,0.777777778,0,0
1.111111111,0.555555556,1.777777778,0.888888889,0.222222222,0.888888889,0.666666667,1,0.777777778,0,0
1.222222222,0.666666667,1.888888889,0.888888889,0.111111111,1,0.666666667,0.333333333,0.666666667,0,0
1.444444444,0.222222222,1.555555556,0.888888889,0.222222222,0.555555556,2,2,0,0,0
1.111111111,0.333333333,1.222222222,0.444444444,0,1,2.333333333,0.666666667,0,0,0
0.666666667,0.111111111,0.888888889,0.111111111,0,0,0.666666667,1,0,0.666666667,0
0.666666667,0.888888889,1,0.666666667,1.333333333,2.444444444,1.333333333,1,0.111111111,0,0.666666667
0.666666667,0.111111111,0.222222222,1,0,0.555555556,0.333333333,1.333333333,0,0.333333333,0
0.222222222,0.111111111,0.888888889,0.111111111,0,0.333333333,0.333333333,0.666666667,0.222222222,0,0
1.222222222,0.777777778,0.777777778,0.222222222,0,0.777777778,1.666666667,1.333333333,0.555555556,0,0
1.222222222,0.444444444,0.777777778,0.888888889,0.222222222,0.333333333,0,1,0,0,0
1,0.444444444,1,1.666666667,0,1.111111111,1.333333333,1,0.111111111,0,0
0.444444444,0.111111111,0.555555556,0.555555556,0,0.888888889,0,0,0.222222222,1,0
1.111111111,0.111111111,1.777777778,0.666666667,0,1.777777778,0.666666667,1.333333333,0.111111111,0.333333333,0
1.222222222,1.222222222,1.111111111,0.888888889,0,1.777777778,0,0,0.222222222,0.666666667,0
0.888888889,0.222222222,2.444444444,0.222222222,0,0.222222222,1.666666667,2,0.555555556,0,1.333333333
1.222222222,0.222222222,1.111111111,0.666666667,0.333333333,1.444444444,1.333333333,2,0.111111111,0.333333333,0
1.111111111,0.444444444,1.222222222,0.111111111,0.222222222,0.666666667,0,0,0.222222222,0,0
1.888888889,0.555555556,1,1,0,0.222222222,2,0.666666667,0.111111111,1,0.666666667
0.666666667,1.333333333,1.333333333,0.222222222,0,0,0.666666667,0.333333333,0.333333333,0,0
1.222222222,0.222222222,1.333333333,2.555555556,0.222222222,0.333333333,1.333333333,1,0,0,0
1.333333333,0.333333333,1.111111111,0.666666667,0.111111111,0.777777778,0.666666667,1,0,0.333333333,0
1.444444444,0.222222222,0.888888889,0.888888889,0,1.222222222,1,0.666666667,0.222222222,0.666666667,0
0.666666667,0.222222222,1.333333333,0.444444444,0,0.555555556,1.333333333,1.333333333,0,0.666666667,0
0.666666667,0.111111111,1.555555556,0.111111111,0,0.111111111,1.333333333,0.333333333,0,0.333333333,0
