Entity	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	R20   	R21   	R22   	R23   	R24   	R25   	R26   	R27   	R28   	R29   	R30   	R31   	R32   	R33   	R34   	R35   	R36   	R37   	R38   	R39   	R40   	R41   	R42   	R43   	R44   	R45   	R46   	R47   	R48   	R49   	R50   	R51   	R52   	R53   	R54   	R55   	R56   	R57   	R58   	R59   	R60   	R61   	R62   	R63   	R64   	R65   	R66   	R67   	R68   	R69   
E1    	1     	3     	5     	2     	4     	1     	1     	2     	5     	5     	10    	8     	2     	4     	2     	2     	3     	1     	1     	5     	1     	1     	1     	3     	2     	3     	2     	1     	6     	1     	2     	1     	2     	3     	4     	2     	4     	1     	4     	3     	9     	1     	5     	3     	1     	1     	4     	2     	1     	1     	2     	2     	1     	2     	1     	1     	3     	2     	8     	1     	3     	6     	1     	2     	2     	2     	1     	4     	2     
E2    	11    	5     	10    	9     	9     	12    	9     	7     	11    	12    	4     	7     	5     	6     	5     	9     	4     	10    	10    	1     	11    	9     	5     	10    	10    	11    	9     	5     	7     	8     	3     	7     	6     	1     	10    	9     	7     	10    	5     	7     	2     	11    	4     	7     	12    	11    	8     	6     	10    	12    	7     	11    	10    	6     	11    	4     	5     	8     	2     	5     	8     	3     	11    	9     	7     	9     	11    	3     	10    
E3    	6     	10    	8     	11    	11    	8     	11    	8     	12    	9     	6     	11    	12    	11    	11    	12    	12    	9     	11    	11    	12    	11    	11    	12    	11    	8     	8     	8     	11    	10    	10    	12    	11    	8     	9     	12    	6     	11    	12    	12    	12    	10    	12    	11    	11    	4     	10    	12    	12    	8     	9     	7     	11    	7     	10    	11    	11    	10    	11    	10    	11    	11    	9     	8     	10    	6     	2     	12    	12    
E4    	3     	2     	4     	3     	1     	4     	2     	10    	1     	6     	8     	2     	1     	1     	1     	1     	2     	2     	4     	2     	7     	4     	6     	4     	4     	1     	6     	3     	4     	3     	6     	3     	1     	2     	1     	1     	1     	3     	3     	1     	1     	3     	1     	4     	7     	2     	2     	3     	2     	2     	11    	8     	4     	1     	5     	2     	2     	1     	3     	4     	4     	1     	2     	5     	1     	7     	8     	5     	1     
E5    	9     	4     	7     	5     	6     	6     	6     	5     	3     	3     	2     	5     	11    	7     	9     	4     	9     	8     	8     	7     	5     	3     	8     	5     	7     	9     	3     	12    	1     	4     	4     	10    	5     	7     	8     	10    	11    	8     	2     	2     	5     	7     	8     	2     	2     	8     	3     	11    	5     	6     	1     	4     	6     	10    	7     	9     	9     	6     	7     	11    	6     	10    	7     	6     	8     	3     	7     	2     	6     
E6    	10    	9     	3     	6     	5     	11    	5     	9     	6     	7     	3     	1     	6     	8     	7     	5     	6     	5     	5     	8     	4     	10    	3     	8     	9     	6     	5     	7     	5     	7     	12    	4     	4     	9     	5     	7     	5     	9     	6     	9     	7     	8     	2     	10    	4     	7     	11    	7     	3     	5     	4     	10    	12    	12    	6     	10    	4     	7     	9     	8     	10    	12    	6     	7     	4     	5     	4     	7     	9     
E7    	8     	8     	11    	7     	12    	9     	12    	11    	8     	10    	7     	9     	8     	12    	12    	10    	7     	7     	12    	9     	8     	12    	9     	11    	12    	10    	12    	2     	12    	12    	11    	9     	12    	12    	7     	11    	12    	12    	9     	10    	11    	12    	11    	12    	10    	10    	12    	8     	8     	11    	12    	9     	9     	11    	9     	7     	12    	11    	12    	12    	12    	4     	10    	10    	11    	11    	5     	11    	11    
E8    	4     	1     	1     	4     	3     	2     	4     	4     	2     	1     	1     	6     	3     	2     	6     	7     	5     	4     	7     	3     	2     	2     	4     	1     	1     	2     	1     	10    	3     	2     	1     	6     	3     	6     	2     	3     	2     	4     	1     	11    	3     	4     	10    	1     	6     	9     	1     	4     	4     	9     	5     	1     	2     	3     	3     	3     	1     	4     	1     	7     	2     	2     	8     	1     	12    	1     	6     	1     	5     
E9    	2     	12    	9     	8     	8     	5     	7     	3     	9     	8     	11    	12    	7     	5     	8     	6     	11    	12    	2     	12    	3     	5     	7     	6     	3     	7     	10    	11    	8     	5     	5     	5     	10    	10    	12    	5     	8     	6     	10    	5     	10    	6     	7     	5     	3     	5     	5     	9     	7     	4     	3     	6     	8     	4     	2     	8     	8     	9     	10    	2     	5     	9     	4     	3     	6     	10    	10    	8     	4     
E10   	7     	11    	6     	10    	10    	7     	8     	6     	7     	11    	9     	3     	10    	9     	4     	3     	1     	11    	3     	6     	10    	7     	12    	9     	5     	5     	7     	6     	9     	6     	8     	8     	9     	4     	11    	6     	9     	5     	7     	8     	8     	9     	3     	9     	9     	12    	7     	10    	6     	10    	8     	12    	7     	8     	12    	6     	7     	12    	4     	3     	7     	5     	3     	11    	3     	8     	12    	10    	3     
E11   	5     	7     	2     	1     	2     	3     	10    	1     	10    	2     	5     	4     	9     	3     	3     	8     	8     	6     	6     	10    	6     	8     	2     	2     	6     	4     	4     	9     	2     	9     	7     	11    	7     	5     	6     	4     	3     	2     	11    	4     	4     	5     	6     	8     	5     	3     	6     	1     	9     	7     	6     	5     	5     	9     	4     	5     	6     	5     	5     	9     	1     	7     	5     	4     	9     	4     	3     	9     	7     
E12   	12    	6     	12    	12    	7     	10    	3     	12    	4     	4     	12    	10    	4     	10    	10    	11    	10    	3     	9     	4     	9     	6     	10    	7     	8     	12    	11    	4     	10    	11    	9     	2     	8     	11    	3     	8     	10    	7     	8     	6     	6     	2     	9     	6     	8     	6     	9     	5     	11    	3     	10    	3     	3     	5     	8     	12    	10    	3     	6     	6     	9     	8     	12    	12    	5     	12    	9     	6     	8     
